2020-12-22 20:55:39,170 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: 680 64 792
2020-12-22 20:55:43,201 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: 760 32 776
2020-12-22 20:56:08,605 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 616 53 856
2020-12-22 20:56:15,752 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! RARE chest at coords: 504 29 -386
2020-12-22 20:56:19,511 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: 488 70 -408
2020-12-22 20:56:22,597 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 622 54 -439
2020-12-22 20:56:28,696 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 456 51 -456
2020-12-22 20:56:33,093 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 568 61 -504
2020-12-22 20:56:37,621 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 392 54 -504
2020-12-22 20:57:01,326 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 968 51 -504
2020-12-22 20:57:04,710 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! EPIC chest at coords: 8 27 584
2020-12-22 20:57:08,992 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 1064 58 -488
2020-12-22 20:57:12,974 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 72 62 712
2020-12-22 20:57:16,372 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 24 56 -568
2020-12-22 20:57:22,286 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: -40 57 712
2020-12-22 20:57:25,668 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! RARE chest at coords: -60 22 -584
2020-12-22 20:57:48,063 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: -200 92 232
